Nama,Singkatan,Struktur,StrukturC,JumlahC,StrukturH,JumlahH,StrukturN,JumlahN,StrukturO,JumlahO,StrukturS,JumlahS,Esensial
alanine,ala,C3H7NO2,C,3,H,7,N,1,O,2,S,0,Tidak
arginina,arg,C6H14N4O2,C,6,H,14,N,4,O,2,S,0,Ya
asparagine,asn,C4H8N2O3,C,4,H,8,N,12,O,3,S,0,Tidak
asam_aspartat,asp,C4H7NO4,C,4,H,7,N,1,O,4,S,0,Tidak
sisteina,cys,C3H7NO2S,C,3,H,7,N,1,O,2,S,1,Tidak
asam_glutamat,glu,C5H9NO4,C,5,H,9,N,1,O,4,S,0,Tidak
glutamine,gln,C5H10N2O3,C,5,H,10,N,2,O,3,S,0,Tidak
glisina,gly,C2H5NO2,C,2,H,5,N,1,O,2,S,0,Tidak
histidine,his,C6H9N3O2,C,6,H,9,N,3,O,2,S,0,Ya
isoleusina,ile,C6H13NO2,C,6,H,13,N,1,O,2,S,0,Ya
leusina,leu,C6H13NO2,C,6,H,13,N,1,O,2,S,0,Ya
lisina,lys,C6H14N2O2,C,6,H,14,N,2,O,2,S,0,Ya
metionina,met,C5H11NO2S,C,5,H,11,N,1,O,2,S,1,Ya
fenilalanina,phe,C9H11NO2,C,9,H,11,N,1,O,2,S,0,Ya
prolina,pro,C5H9NO2,C,5,H,9,N,1,O,2,S,0,Tidak
serina,ser,C3H7NO3,C,3,H,7,N,1,O,3,S,0,Tidak
treonina,thr,C4H9NO3,C,4,H,9,N,1,O,3,S,0,Ya
triptofan,try,C11H12N2O2,C,11,H,12,N,2,O,2,S,0,Ya
tirosina,tyr,C9H11NO3,C,9,H,11,N,1,O,3,S,0,Tidak
valina,val,C5H11NO2,C,5,H,11,N,1,O,2,S,0,Ya
